[[ 36.31        36.25308695]
 [ 21.98        20.51776092]
 [ 32.93        34.00791614]
 [ 38.          38.97825897]
 [ 38.9         40.08104795]
 [ 39.06        39.75005202]
 [ 13.62        13.65876121]
 [ 25.82        24.68231388]
 [ 37.51        37.43286407]
 [ 39.23        39.12884682]
 [ 39.85        40.37829508]
 [ 39.13        39.30529042]
 [ 23.57        21.96323735]
 [ 35.73        38.27647591]
 [ 31.98        32.201059  ]
 [ 15.7         15.60245776]
 [ 37.99        37.83134189]
 [ 35.26        36.40313402]
 [ 39.13        39.18560811]
 [ 13.83        13.98147066]
 [ 15.56        15.72352948]
 [ 15.18        15.3428501 ]
 [ 37.88        36.91023778]
 [ 14.77        14.99357271]
 [ 13.51        13.61422818]
 [ 15.76        15.64014221]
 [ 14.04        13.88842328]
 [ 37.73        37.06875716]
 [ 15.73        15.97072182]
 [ 15.15        15.25987654]
 [ 39.29        39.30529042]
 [ 14.56        14.77496314]
 [ 38.42        39.18560811]
 [ 13.69        13.6363535 ]
 [ 35.6         36.00793575]
 [ 16.52        16.95593116]
 [ 15.16        15.02134871]
 [ 34.09        33.61928558]
 [ 13.44        13.91386682]
 [ 38.45        37.88445924]
 [ 15.27        15.24354913]
 [ 36.65        36.91023778]
 [ 13.51        13.93506917]
 [ 25.34        26.89428089]
 [ 37.05        37.45228982]
 [ 13.9         13.83132571]
 [ 14.07        14.1384428 ]
 [ 36.93        37.38108708]
 [ 40.63        39.27658661]
 [ 26.84        25.76943388]
 [ 36.8         35.62180559]
 [ 38.4         38.34917294]
 [ 13.5         13.57157145]
 [ 16.16        15.41643989]
 [ 30.66        27.46036311]
 [ 14.39        14.41736158]
 [ 40.92        40.75726473]
 [ 38.5         39.16570321]
 [ 15.03        15.06001434]
 [ 14.          14.03130336]
 [ 13.7         13.71619549]
 [ 14.26        14.31363396]
 [ 23.34        23.43461932]
 [ 14.29        14.38728631]
 [ 14.17        14.31379157]
 [ 13.89        13.7393833 ]
 [ 14.24        14.5960001 ]
 [ 15.56        15.67687444]
 [ 39.08        37.49686961]
 [ 15.9         15.77786912]
 [ 40.63        40.08104795]
 [ 14.1         13.89144022]
 [ 37.55        37.81928671]
 [ 33.88        33.91125554]
 [ 35.11        35.72961379]
 [ 13.49        13.65471943]
 [ 27.87        25.82861986]
 [ 13.88        13.89112043]
 [ 15.91        15.34438276]
 [ 13.46        13.5444037 ]]
